Label	 POINTS	SEASONAL	pH	DISSOLVED OXYGEN	CONDUCTIVITY	TDS 	SALINITY	TEMPERATURE  	TRANSPARENCY	RAIN	PHOSPHATE	SILICATE	NITRATE	NITRITE	AMMONIA	CHLOROPHYLL-a	NANO	MICRO	SHANNON	PIELOU	MARGALEF	ABUNDANCE	DIN:DIP	DIN:DSi	DSi:DIP
MARP1	1	RAINY	6,71	3	52	26	8,66	28,44	20	539,5	0,49	44,15	4,93	0,33	0,67	15,86	2,92	12,93	1,431	0,5974	1,801	9624,8	12,1	0,13	90,1
MARP2	2	RAINY	6,27	3,11	52	26	0,02	28,46	30	539,5	0,43	34,48	5,21	0,27	0,56	13,25	3,63	9,62	0,8314	0,7655	0,7213	38506,24	14,1	0,18	80,4
MARP3	3	RAINY	6,27	4,71	53	26	0,02	28,54	30	539,5	0,37	50,94	4,34	0,29	0,56	7,41	2,46	4,94	0,6616	0,9689	0,4809	19253,12	14,1	0,1	138,6
MARP4	4	RAINY	6,33	4,56	54	27	0,02	28,67	36	539,5	0,31	23,28	4,13	0,27	0,5	11,58	2,43	9,15	1,067	0,969	0,8341	26473,04	16	0,21	76
MARP5	5	RAINY	6,25	3,94	55	28	0,02	28,78	35	539,5	0,31	32,29	5,46	0,29	0,49	7,65	0,79	6,87	0	1	0	7219,92	20,4	0,19	105,4
ABRP1	1	RAINY	7,3	3,59	85	42	8,65	29,46	52	673,3	0,58	44,74	47,46	0,29	1,32	9,96	5,86	4,1	1,622	0,7231	2,216	36099,6	84,3	1,1	76,9
ABRP2	2	RAINY	7,4	4,89	76	38	0,03	30,3	59	673,3	0,49	28,89	24,21	0,19	1,1	12	5,66	6,33	2,01	0,829	2,885	38506,24	52	0,88	59
ABRP3	3	RAINY	7,1	4,88	77	38	0,03	30,76	44	673,3	0,24	47,58	28,4	0,27	1,11	10,69	4,11	6,59	2,356	0,8115	3,728	60166	121,6	0,63	194,2
ABRP4	4	RAINY	7,5	4,86	78	39	0,04	30,54	32	673,3	0,43	34,99	21,51	0,27	1,11	4,78	3,16	1,62	2,707	0,7491	4,935	113112,08	53,4	0,65	81,6
ABRP5	5	RAINY	7,2	5,1	83	42	0,04	30,65	25	673,3	0,67	79,12	18,01	0,27	0,8	6,57	4,3	2,27	1,778	0,8456	2,339	31286,32	28,3	0,24	117,4
