Species 	MARP1	MARP2	MARP3	MARP4	MARP5	ABRP1	ABRP2	ABRP3	ABRP4	ABRP5	MAIP4	MAIP5	JUNP4	JUNP5	SETP4	SETP5	OUTP5	NOVP5	DEZP5	MAIP1	JUNP1	SETP1	OUTP1	OUTP3	OUTP4	NOVP1	DEZP1	MAIP2	MAIP3	JUNP2	JUNP3	SETP2	SETP3	OUTP2	NOVP2	NOVP3	NOVP4	DEZP2	DEZP3	DEZP4
Aulacoseira granulata	0	0	0	7219,86	0	2406,62	4813,24	2406,62	2406,62	0	52945,64	0	4813,24	0	146803,82	2406,62	122737,62	89044,94	36099,3	2406,62	0	2406,62	0	137177,34	0	0	0	0	19252,96	26472,82	0	7219,86	0	4813,24	12033,1	4813,24	0	14439,72	60165,5	60165,5
Coscinodiscus centralis	0	0	0	0	0	0	0	0	0	0	14439,72	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coscinodiscus oculos-iridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45725,78	12033,1	0	0	4813,24	0	0	0	0	0	7219,86	0	0	2406,62	0	0	0	0	0
Craticula ambigua	0	0	0	0	0	0	0	0	0	0	19252,96	0	0	2406,62	0	0	0	0	0	31286,06	0	2406,62	0	0	0	0	0	4813,24	7219,86	14439,72	0	0	0	0	0	0	0	0	0	0
Cyclotella meneghiniana 	0	0	0	0	0	0	0	0	19252,96	0	0	0	0	0	0	2406,62	7219,86	0	0	16846,34	4813,24	38505,92	12033,1	0	0	0	0	0	0	0	0	105891,28	2406,62	12033,1	0	0	0	67385,36	0	0
Diploneis elliptica	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	2406,62	4813,24	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0
Diploneis gruendleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	7219,86	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0
Entomoneis alata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eunotia sp.	0	0	0	12033,1	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gyrosigma acuminatum	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	2406,62	4813,24	2406,62	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	4813,24	0	7219,86	4813,24
Hemialus indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0
Melosira nummuloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Navicula antonii 	0	0	0	0	0	2406,62	0	14439,72	12033,1	9626,48	21659,58	28879,44	0	0	0	0	0	0	0	12033,1	2406,62	0	0	0	0	0	0	2406,62	0	31286,06	0	0	0	0	0	0	0	0	0	0
Nitzschia agnita	0	0	0	0	0	0	0	0	0	0	28879,44	0	4813,24	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12033,1	0	0	2406,62	0	0	0	0
Nitzschia fruticosa	0	0	0	0	0	0	0	0	0	0	9626,48	0	108297,9	45725,78	0	0	0	0	0	0	0	0	0	0	0	0	0	38505,92	12033,1	36099,3	0	0	0	0	0	0	0	0	0	0
Nitzschia longissima	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	28879,44	45725,78	19252,96	0	0	0	0	79418,46	0	0	0	0	0	0	0	0	0	0	0	0	16846,34	0	0	55352,26
Nitzschia reversa	0	0	0	0	0	0	0	7219,86	4813,24	0	2406,62	0	0	0	0	0	2406,62	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitzschia sp.	0	0	0	0	0	0	0	0	0	0	9626,48	0	0	0	0	0	67385,36	250288,48	250288,48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	89044,94	72198,6
Paralia sulcata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12033,1	0	0	2406,62	7219,86	7219,86	14439,72	0	0	0	16846,34	0	0	0	0	9626,48	0	0	0	2406,62	0	0	0	0
Pinnularia acrosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12033,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38505,92	0	0	0	2406,62	0	21659,58	31286,06
Polymyxus coronalis	0	7219,86	7219,86	0	0	9626,48	2406,62	0	0	0	0	2406,62	7219,86	0	14439,72	0	0	0	0	0	4813,24	4813,24	7219,86	223815,66	36099,3	0	4813,24	149210,44	48132,4	122737,62	339333,42	228628,9	620907,96	141990,58	84231,7	288794,4	495763,72	310453,98	683480,08	245475,24
Skeletonema costatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
